station,time,start_time,end_time,probability,phase,amp_z,amp_n,amp_e,nos_z,nos_n,nos_e,rms_z,rms_n,rms_e,snr_z,snr_n,snr_e,source
IC.LSA,2008-10-01 00:40:46.863300,2008-10-01 00:40:45.863300,2008-10-01 00:40:47.183300,0.11313009,P,1.857501606850132e-08,1.5229120034291496e-08,1.0157022182712193e-08,5.155867129314956e-09,6.027435619286009e-09,5.723455693554214e-09,6.38791206070797e-09,6.8102146990180515e-09,5.1319362839686115e-09,1.039291962925797,1.0332080724252282,1.1928839295246345,diting
IC.LSA,2008-10-01 00:40:48.463300,2008-10-01 00:40:48.403300,2008-10-01 00:40:49.283300,0.074843735,P,1.3541793532753297e-08,1.5229120034291496e-08,1.1330982459464683e-08,6.868464630385298e-09,5.254775722957485e-09,5.972759847684243e-09,5.646478507507444e-09,6.370077024205909e-09,6.3367934802902525e-09,1.5051692315996303,0.98006111281849,1.3215923481122882,diting
IC.LSA,2008-10-01 01:02:44.923300,2008-10-01 01:02:44.923300,2008-10-01 01:02:45.143300,0.07005007,P,1.0935725132178311e-07,2.2130806734900528e-08,3.348548290933539e-08,5.478808494956314e-09,6.3488785215301254e-09,6.566533354475932e-09,3.687700014526584e-08,1.4754003453290612e-08,1.7738566608754117e-08,4.823767321054544,1.6544974892209912,3.284916107864071,diting
IC.LSA,2008-10-01 01:50:36.303300,2008-10-01 01:50:36.183300,2008-10-01 01:50:36.523300,0.08029245,P,2.0901163169310443e-07,3.055493420823083e-07,1.103943584665501e-07,8.621756984564862e-09,9.426544189642944e-09,8.42802369674325e-09,8.953156625740848e-08,1.2402972414671446e-07,5.9142268346951584e-08,6.439826942895806,9.28120939352601,4.095908111688154,diting
IC.LSA,2008-10-01 02:06:27.263300,2008-10-01 02:06:27.123300,2008-10-01 02:06:27.503300,0.2666163,P,4.5466391759627605e-08,6.148321522731786e-08,2.057491901483871e-08,7.916455473619825e-09,5.605283902467166e-09,5.92678912711773e-09,2.4019077656379175e-08,3.2388689997856563e-08,9.210387818889196e-09,2.242369666932453,3.3636297072126458,1.2863796317447451,diting
IC.LSA,2008-10-01 02:31:13.163300,2008-10-01 02:31:13.023300,2008-10-01 02:31:13.423300,0.28657573,P,1.883136405622628e-08,1.8912355141186434e-08,1.5201566266693684e-08,5.552779841124619e-09,1.1401270768084511e-08,7.168553949361173e-09,8.018862626400443e-09,8.543512780074998e-09,8.092788209158222e-09,2.4037432754825474,0.8870364458806952,1.0787137274231817,diting
IC.LSA,2008-10-01 02:43:30.343300,2008-10-01 02:43:30.303300,2008-10-01 02:43:30.643300,0.10456495,P,2.1258446018175498e-08,2.750784491233622e-08,1.7414581230421016e-08,6.685246583024797e-09,8.315058255939853e-09,6.232334070412446e-09,1.2149936448045114e-08,1.1068588620314172e-08,6.627945416496379e-09,1.8069004642338542,1.69758010846137,1.060294279913983,diting
IC.LSA,2008-10-01 03:13:07.743300,2008-10-01 03:13:07.623300,2008-10-01 03:13:08.043300,0.08757151,P,2.1054754974207023e-08,1.7771391835018403e-08,1.9086051734440454e-08,7.552741751089878e-09,8.298323839162502e-09,7.579531960137197e-09,7.883085144924109e-09,7.477383831438567e-09,7.406962478444996e-09,1.4654791115374748,1.2556713456854676,0.9011288654090938,diting
IC.LSA,2008-10-01 03:55:12.343300,2008-10-01 03:55:12.183300,2008-10-01 03:55:12.823300,0.099451326,P,1.6138824554086996e-08,1.733233857187434e-08,9.827535415907892e-09,9.556738360157726e-09,8.189618122951665e-09,6.3254099886756645e-09,8.135280510403179e-09,6.434425355641696e-09,4.8695895171517875e-09,1.2338868671554175,0.7238851816867297,0.9617377040412461,diting
IC.LSA,2008-10-01 03:55:13.463300,2008-10-01 03:55:13.103300,2008-10-01 03:55:13.883300,0.15293522,P,1.9597751065299945e-08,1.3671232624963552e-08,9.827535415907892e-09,7.594813935525015e-09,8.58261161509148e-09,6.665333588366266e-09,8.080306195020464e-09,6.454980387872118e-09,5.728654745279812e-09,1.5325126272160443,0.6436036293998177,0.9481858434352716,diting
